Book,Aspect,Level,Memory,Memory Aspects,Lesson,Lessons,Lesson Aspects,Price,Language,Type,Period,Contaminated,Description
The Orchid Transfigurations: a Feast,Grail,4,Memory: Intuition,Moon 2 / Rose 2,Lesson: Desires & Dissolutions,1,Grail / Moon,3,Latin,,Baronial,5%,"A compilation of quasi-Rosicrucian allegories, supposedly by Robert Fludd. This is in the original Latin."
The Tripled Heart,Grail,4,Memory: Intuition,Moon 2 / Rose 2,Lesson: Tridesma Hiera,1,Moon / Grail,4,Henavek,,Solar,10%,Sacred poems composed in honour of the Hours venerated by the Sisterhood of the Triple Knot.
The Wind's Ruin,Grail,4,Beguiling Melody,Grail 2 / Sky 2,Lesson: Applebright Euphonies,1,Sky / Grail,4,,,Solar,10%,The second volume of the meditations of Abbot Thomas of the Abbey of the Black Dove.
COLOURS IN THE LIVER,Grail,6,Memory: Revelation,Lantern 2,Lesson: Resurgences & Emergences,1,Moth / Grail,1,,Film,Nocturnal,2%,"Ilse Bischoff's most controversial film, blamed for outbreaks of cannibalistic killings in Tiflis and Leipzig."
The Devoured Tantra,Grail,6,Confounding Parable,Moon 2 / Rose 2 / Sky 2,Lesson: Applebright Euphonies,1,Sky / Grail,2,Sanskrit,,Curia,5%,"The diplomat-priest Stanislav John Schaller transcribed this from the library of a Red Long, but his manuscript remains in a private collection in Kerisham."
An Impertinent Vitulation,Grail,6,Memory: Satisfaction,Grail 2 / Heart 1,Lesson: Leaves & Thorns,1,Nectar / Grail,3,,,Baronial,5%,"A book of kitchen-garden techniques and aphrodisiac recipes recorded by Ernestine Peterhans, the 'Iron Seneschale' of Hush House for three generations of Dewulfs."
On Matthias and the Amethyst Imago: Pursuit,Grail,6,Memory: Gossip,Grail 1 / Rose 2,Lesson: Desires & Dissolutions,1,Grail / Moon,5,Aramaic,,Dawn,20%,An account of an occult romance. A certain Mek claims to have written this in a single night as part of his initiation into the Theban branch of the House of Lethe - that order of immortals who used the arts of water to conceal themselves.
The Intimations of Skin,Grail,8,Beguiling Melody,Grail 2 / Sky 2,Lesson: Desires & Dissolutions,2,Grail / Moon,1,,,Nocturnal,2%,"Fiendishly complex, weirdly distorted illustrations of 'congress and anatomy' by the haunted visionary painter Niels Frederik Malsk�r."
Snare of the Tree: Collected Proverbs of Aunt Mopsy,Grail,8,Confounding Parable,Moon 2 / Rose 2 / Sky 2,Lesson: Applebright Euphonies,2,Sky / Grail,1,,,Nocturnal,2%,"Once in the Wood, we call a visit. Twice in the Wood, we call a journey. Thrice, we call coming home.'"
The Thirsting Tantra,Grail,8,Memory: Satisfaction,Grail 2 / Heart 1,Lesson: Orchids & Narcotics,2,Grail / Nectar,2,Sanskrit,Scroll,Curia,5%,"C.G. Burial, the temperance campaigner, published elements of this in a pamphlet, which had to be withdrawn and destroyed after it became popular"
The Orchid Transfigurations: a Birth,Grail,8,Memory: Satisfaction,Grail 2 / Heart 1,Lesson: Resurgences & Emergences,2,Moth / Grail,3,Latin,,Baronial,5%,"The second volume of a compilation of quasi-Rosicrucian allegories, supposedly by Robert Fludd. This is in the original Latin."
Calicite Supplications,Grail,8,Memory: Satisfaction,Grail 2 / Heart 1,Lesson: Tridesma Hiera,2,Moon / Grail,4,Greek,,Solar,10%,Prayers addressed to the Red Grail by the Sisterhood of the Triple Knot.
The Geminiad ii,Grail,10,Memory: Satisfaction,Grail 2 / Heart 1,Lesson: Pentiments & Precursors,2,Scale / Grail,2,Fucine,,Curia,5%,"A fragile manuscript, illuminated with twinned shapes of sad and luminous beauty, and with all the phases of the moon. It might be as old as the seventh century, but the language - Fucine - is much older. The cover is a dark and exotic leather with a smooth, almost chitinous surface, decorated with jasper."
"On Thirstlies, Ivories and Lovelies",Grail,10,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Resurgences & Emergences,2,Moth / Grail,2,,,Curia,5%,"Fionna Ayrshire recounts her visits in dreams to the 'Red Church' in the Mansus, and her conversations with the Names of the Grail."
The Rose of Nuriel,Grail,10,Memory: Satisfaction,Grail 2 / Heart 1,Lesson: The Great Signs and the Great Scars,2,Grail / Knock,4,Greek,,Solar,10%,"A volume of collected teachings of the Sisterhood of the Knot, that arcane-contemplative order that existed in all histories, but in some was very powerful indeed. This was recorded by 'Nuriel', and dedicated to St Tryphon."
A Journey to the Grove,Grail,10,Memory: Satisfaction,Grail 2 / Heart 1,Lesson: Orchids & Narcotics,2,Grail / Nectar,4,,,Solar,10%,"Black Elie, who much later became Damascene Matriarch of the Sisterhood of the Knot, recounts her journey to the Grove of Green Immortals."
The Wonderful Shape,Grail,10,Memory: Satisfaction,Grail 2 / Heart 1,Lesson: Tridesma Hiera,2,Moon / Grail,5,Killasimi,,Nocturnal,2%,"Blessings and invocations of the Triple Knot recorded at a sanctuary in Cyprus notable for its weavers, sculptors, and gardeners."
The Sun Disfigured,Grail,10,Numen: the Sun's Weakness,Grail 5 / Lantern 5 / Moth 5,Lesson: Applebright Euphonies,2,Sky / Grail,8,Cracktrack,Scroll,Unknown,0%,"A scroll of anthropoderm parchment, written in the golden ink called Uzult. [This book houses a <i>numen</i> - a truth so powerful it can perhaps believe itself.]"
A Catalogue of Uncharted Pleasures,Grail,12,Memory: Satisfaction,Grail 2 / Heart 1,Lesson: Orchids & Narcotics,2,Grail / Nectar,5,Phrygian,,Dawn,20%,"The Dark Gentleman' is the only, and rather grandiosely, identified author of this often-copied work."
One Thousand Threads,Grail,12,Memory: Fear,Edge 1 / Scale 2,Lesson: Tridesma Hiera,2,Moon / Grail,5,Killasimi,,Dawn,20%,"The fate-supplications of the Matriarch of the Well, recorded by in darkness by her weavers and her daughters�"
"Twenty-Six Enticements, Seven Torments",Grail,14,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Resurgences & Emergences,2,Moth / Grail,1,Fucine,,Nocturnal,2%,"The painter Niels Frederik Malsk�r, notoriously, attempted a series of paintings based on the Torments. By the Fifth Torment, the demands of the painting had grown so dire that he died of blood loss. The diagrams in this text are thankfully less detailed."
The Dream of the Conspiracy of the Lower Skies,Grail,16,Memory: Gossip,Grail 1 / Rose 2,Lesson: The Great Signs and the Great Scars,3,Grail / Knock,5,Phrygian,,Dawn,20%,"The disgraced oracle Damaon Azenaten sifts through the tall tales of Penelope of Gordion, the work of the court poet Kalle and the forbidden fragments of the work of the adept Arrettrez, indentifying common themes."
Medusan Commentaries,Grail,21,Memory: Fear,Edge 1 / Scale 2,Lesson: Pentiments & Precursors,3,Scale / Grail,3,Killasimi,Infinite,Baronial,5%,Haustorial discussions of Medusa's histories.
Apollo and Marsyas,Heart,4,Memory: Storm,Heart 2 / Sky 2,Lesson: Surgeries & Exsanguinations,1,Heart / Knock,2,,,Curia,5%,"The libretto of a lost opera concerning the contest between Apollo and Marsyas, and its tragic outcome. The librettist is identified only by their initials."
The Orchid Transfigurations: Noon,Heart,4,Memory: Solace,Heart 2 / Sky 1,Lesson: Maggephene Mysteries,1,Moon / Heart,2,Latin,,Curia,5%,"The third volume of a compilation of quasi-Rosicrucian allegories, supposedly by Robert Fludd. This is in the original Latin."
A True and Complete Accounting of the Asclepian Mysteries of the Roots of the House,Heart,4,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Weaving & Knotworking,1,Heart / Moth,2,Greek,,Curia,5%,"Descriptions of the 'Asclepian Mysteries', reproduced by one 'Rylee Grese' from - supposedly - a much older text. It's unlikely to be genuine, but it makes a reference to 'The House without Walls and its Wood' right there in the prologue."
The Other Line,Heart,4,Confounding Parable,Moon 2 / Rose 2 / Sky 2,Lesson: Preliminal Meter,1,Knock / Rose,3,,,Baronial,5%,"One of Samuel Savage's more thoughtful works: an allegorical play about the City Clarity, a city that is also a book, and the sentences which inhabit it."
Velletri Interviews,Heart,6,Memory: A Stolen Secret,Knock 1 / Moon 2,Lesson: Edicts Inviolable,1,Heart / Moon,1,,Record,Baronial,5%,"Interrogation of a man named Lacombe, a former Nocturnal Branch inspector now identified as 'terminally robigoid'."
The Ceaseless Tantra,Heart,6,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Weaving & Knotworking,1,Heart / Moth,2,Sanskrit,,Curia,5%,The avant-garde choreographer Nicholas Keirle supposedly incorporated this Tantra into his menacing ballets.
"Two Wombs, One Heart",Heart,8,Memory: Satisfaction,Grail 2 / Heart 1,Lesson: Stitching & Binding,2,Sky / Heart,2,Killasimi,,Curia,5%,"A fanciful account by Thirza Blake of the early life of the Twins - their time as mortals before they became Hours or even Long, in a 'dry kingdom beyond the Western Sea' which Thirza suggests might have been ancient Mexico."
The Flayed Tantra,Heart,8,Memory: Storm,Heart 2 / Sky 2,Lesson: Maggephene Mysteries,2,Moon / Heart,2,Sanskrit,Scroll,Curia,5%,"This Tantra is recorded as being spoken by an enigmatic individual identified as 'Peel', with many of the qualities of the mythological naga. The Flayed Tantra played a notable part in Alexander Sparrow's paranoid pamphleteering."
Warming Draughts to Uplift the Heart,Heart,8,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Herbs & Infusions,2,Heart / Nectar,2,Greek,,Curia,5%,A wonderful compendium of healing tisanes compiled by Natan of Regensburg.
Rapt in the King,Heart,8,Earth-Sign,Nectar 2 / Scale 2,Lesson: Drums & Dances,2,Heart / Nectar,3,,,Baronial,5%,"Detailed accounts of secret bacchanals and ecstatic dances observed in necropolises and graveyards in Southern Europe, in Egypt and in Anatolia. The author is a self-confessed ghoul, an eater of buried flesh: he claims to have witnessed the dances while at his feasting."
The Geminiad i,Heart,10,Memory: Solace,Heart 2 / Sky 1,Lesson: Weaving & Knotworking,2,Heart / Moth,2,Fucine,,Curia,5%,"A fragile manuscript, illuminated with twinned shapes of sad and luminous beauty, and with all the phases of the moon. It might be as old as the seventh century, but the language - Fucine - is much older. The cover is tooled goatskin decorated with garnet."
Notes on Bindings,Heart,10,Memory: Solace,Heart 2 / Sky 1,Lesson: Stitching & Binding,2,Sky / Heart,3,,,Baronial,5%,"Gideon Dewulf, 5th Baron Brancrug, discusses techniques shared between medical suturing, tailoring, and - carefully, allusively - the binding of restless spirits."
The Instruments of the Heart,Heart,10,Cheerful Ditty,Heart 2 / Sky 1,Lesson: Drums & Dances,2,Heart / Nectar,4,,,Solar,10%,"Sister Isabel, then Precentress of the Abbey-Church of St Brandan's, engages in dialogues with a Heart-long of a kind called 'duendrazon' that has taken partial possession of her body."
Lake Fucino Recordings,Heart,12,Beguiling Melody,Grail 2 / Sky 2,Lesson: Drums & Dances,2,Heart / Nectar,1,,Record,Nocturnal,2%,Recordings of the folk-dances of the Fucine Marshes.
Those Who Do Not Sleep,Heart,12,Memory: Storm,Heart 2 / Sky 2,Lesson: Surgeries & Exsanguinations,2,Heart / Knock,5,Fucine,,Dawn,20%,"The mystic Brodnax discusses the origins of the Sister-and-Witch, and of the Thunderskin."
Commandments For the Preservation of All That Exists,Heart,14,Memory: Satisfaction,Grail 2 / Heart 1,Lesson: Stitching & Binding,2,Sky / Heart,4,Mandaic,,Solar,10%,"Black Elie, Damascene Matriarch of the Sisterhood of the Knot, was imprisoned by the emperor Didius Julianus. She reportedly instructed that these secret doctrines be recorded in writing to preserve against their loss. Regrettably, the story goes, Didius Julianus ordered that the work be entombed with her in an unmarked sepulcher."
The Time of Division,Heart,14,Memory: Pattern,Forge 1 / Knock 2,Lesson: Surgeries & Exsanguinations,2,Heart / Knock,5,Mandaic,,Dawn,20%,"In which Amira Zahra prophesies the events later known as the Intercalate, when the Hour called Sun-in-Splendour will be divided."
Nyn's Cages (Avignon Text),Heart,16,Memory: Hindsight,Scale 1 / Winter 2,Lesson: Quenchings & Quellings,3,Winter / Heart,4,Ericapaean,,Solar,10%,The 'merciful measures' of the witch Nyn.
The Book of the Extinguished Heart,Heart,16,Bittersweet Certainty,Lantern 1 / Winter 2,Lesson: Quenchings & Quellings,3,Winter / Heart,5,Mandaic,,Dawn,20%,"In the days of the Shadowless Kings, Ennis Lazali was executed for prophesying the Division of the Sun. If any of his captors grew Long, they probably feel rather abashed now."
"Travelling at Night, vol 1",Knock,4,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Edicts Liminal,1,Moth / Knock,1,,,Nocturnal,2%,"The annotated dream-journals of Christopher Illopoly, sometimes called 'the only readable occultist': literate, entertaining, bewildering."
"Travelling at Night, vol 3",Knock,4,Memory: Pattern,Forge 1 / Knock 2,Lesson: Door & Wall,1,Knock / Forge,1,,,Nocturnal,2%,"The annotated dream-journals of Christopher Illopoly, sometimes called 'the only readable occultist': literate, entertaining, bewildering."
The Treatise on Underplaces,Knock,4,Memory: Fear,Edge 1 / Scale 2,Lesson: Horns & Ivories,1,Scale / Knock,3,,,Baronial,5%,"Herein, the seventeenth-century mystic and antiquarian Claude Hersault describes the 'Bounds' or 'Underplaces' on the borders of dream. He warns that they shift over time."
Advice on Containment,Knock,4,Memory: Pattern,Forge 1 / Knock 2,Lesson: Glassblowing & Vesselcrafting,1,Knock / Sky,3,,,Baronial,5%,"Thirza Blake discusses ways 'to keep Wood-things out of trouble, and Mansus-things in it.'"
The Raptures of Forculus,Knock,4,Memory: Pattern,Forge 1 / Knock 2,Lesson: The Great Signs and the Great Scars,1,Grail / Knock,4,Latin,,Solar,10%,The first volume of Abbot Geffrey's hypothetical theological debates in the Socratic mode.
The Locksmith's Dream: Trespasses,Knock,6,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Edicts Liminal,1,Moth / Knock,1,,,Nocturnal,2%,The third volume of Teresa Galmier's examination of parallels in the mystic dreams of artisans.
By Their Marks Shall Ye Know them,Knock,6,Memory: Pattern,Forge 1 / Knock 2,Lesson: Surgeries & Exsanguinations,1,Heart / Knock,2,,,Curia,5%,"A monster-hunting initiate of the Hour named the Colonel, who identifies herself as 'Little Sophia', provides advice on finding the weak spots of Long."
The Elations of Limentinus,Knock,6,Memory: Pattern,Forge 1 / Knock 2,Lesson: The Great Signs and the Great Scars,1,Grail / Knock,4,Latin,,Solar,10%,The second volume of Abbot Geffrey's hypothetical theological debates in the Socratic mode.
The Twin-Serpent Tantra,Knock,8,Memory: Pattern,Forge 1 / Knock 2,Lesson: Edicts Liminal,2,Moth / Knock,1,Sanskrit,,Nocturnal,2%,"Just before the outbreak of the Great War, 'Alexander Sparrow' - almost certainly a pseudonym - published leaflets claiming the influence of 'Snake Princes' on world affairs. The text called the Twin-Serpent Tantra was his primary inspiration."
On the Winding Stair,Knock,8,Memory: Pattern,Forge 1 / Knock 2,Lesson: Door & Wall,2,Knock / Forge,2,Ramsund,,Curia,5%,"Gregory Wheelock, the master mason and architect employed by Walter Dewulf to construct the Winding Stair and the guest chambers in Hush House, describes a more ambitious and dangerous project."
